n,head,en,bucket,df,gloss_df,score,status,sources
43,시스템적 위험,systemic risk,F,16,3,10.1576,multi,IASR 2026 p.155; IASR 2025 p.227; EU GPAI CoP 안내서 (KO) p.112; EU GPAI CoP 안내서 (KO) p.113; EU GPAI CoP 안내서 (KO) p.113
44,Conformity Assessment,Conformity Assessment,F,7,2,6.1585,multi,EU GPAI CoP 안내서 (KO) p.12; EU GPAI CoP 안내서 (KO) p.12
45,고영향 인공지능,high-impact AI,F,6,2,5.8046,multi,인공지능기본법 p.3; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.79; 기본법 지원데스크 사례집 p.83
46,인공지능시스템,인공지능시스템,F,5,3,4.9363,multi,인공지능기본법 p.3; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.83; 안정성 확보 가이드라인 p.13
47,Systemic risk assessment,Systemic risk assessment,F,4,2,4.8101,multi,IASR 2026 p.155; IASR 2025 p.227; EU GPAI CoP 안내서 (KO) p.113
48,인공지능기술,인공지능기술,F,5,3,4.7278,multi,인공지능기본법 p.3; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.83; 안정성 확보 가이드라인 p.13
49,인공지능산업,인공지능산업,F,5,3,4.5085,multi,인공지능기본법 p.3; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.83
50,인공지능 수명주기,인공지능 수명주기,F,4,2,4.4427,found,안정성 확보 가이드라인 p.13
51,Systemic risk tiers,Systemic risk tiers,F,4,2,4.3371,multi,IASR 2026 p.155; IASR 2025 p.227; EU GPAI CoP 안내서 (KO) p.113
52,위험관리,risk management,G,30,8,15.5729,multi,IASR 2025 p.158; IASR 2025 p.225
53,AI lifecycle,AI lifecycle,G,15,2,13.5394,found,IASR 2025 p.218
54,위험 허용도,risk tolerance,G,8,2,7.5802,multi,IASR 2026 p.154; IASR 2025 p.225
55,위험 임계값,risk threshold,G,6,2,5.7718,multi,IASR 2026 p.154; IASR 2025 p.225
56,위험관리체계,위험관리체계,G,4,1,3.05,found,안정성 확보 가이드라인 p.13
57,harmonised standard,harmonised standard,G,2,1,1.6468,found,EU GPAI CoP 안내서 (KO) p.13
58,Disinformation,Disinformation,H,13,1,9.8098,multi,IASR 2025 p.220; IASR 2025 p.221
59,Synthetic Data,synthetic-data,H,12,2,7.4859,multi,IASR 2025 p.47; IASR 2026 p.155; IASR 2025 p.226
60,Data Provenance,Data Provenance,H,11,2,7.113,found,IASR 2026 p.150
61,딥페이크,deepfake,H,12,2,6.7906,multi,IASR 2025 p.62; IASR 2025 p.139; IASR 2026 p.150; IASR 2025 p.150; IASR 2025 p.201
62,Misinformation,Misinformation,H,15,1,6.2105,found,IASR 2025 p.223
63,Watermark,Watermark,H,10,1,5.1437,multi,IASR 2025 p.201; IASR 2025 p.227
64,AI-generated fake content,AI-generated fake content,H,2,1,2.9605,multi,IASR 2025 p.62; IASR 2025 p.67; IASR 2025 p.201; IASR 2025 p.218
65,합성데이터,합성데이터,H,3,0,1.9918,found,AI 핵심용어 단면 p.90
66,Training Data,Training Data,I,32,6,20.135,found,EU GPAI CoP 안내서 (KO) p.13
67,Weights,Weights,I,21,6,14.6577,multi,IASR 2025 p.30; IASR 2025 p.150; IASR 2025 p.170; IASR 2025 p.227
68,Compute,Compute,I,30,3,14.555,multi,IASR 2025 p.30; IASR 2025 p.47; IASR 2025 p.129; IASR 2025 p.219
69,Parameters,Parameters,I,23,6,14.3546,found,IASR 2025 p.224
70,Deep Learning,deep-learning,I,14,3,14.2005,multi,IASR 2025 p.30; IASR 2026 p.150; IASR 2025 p.220
71,신경망,neural network,I,11,3,14.1745,multi,IASR 2025 p.30; IASR 2026 p.152; IASR 2025 p.223
72,Inference,Inference,I,22,3,11.7218,multi,IASR 2025 p.38; IASR 2025 p.47; IASR 2025 p.222; IASR 2025 p.319
73,파인튜닝,fine-tuning,I,22,4,10.65,multi,IASR 2026 p.151; IASR 2025 p.170; IASR 2025 p.221; AI 핵심용어 단면 p.42
74,파운데이션 모델,foundation model,I,17,1,9.1142,multi,IASR 2025 p.221; AI 핵심용어 단면 p.81
75,학습 데이터,학습 데이터,I,9,2,8.7467,found,EU GPAI CoP 안내서 (KO) p.13
76,LLM,LLM,I,27,3,8.6533,found,AI 핵심용어 단면 p.11
77,Intellectual property,Intellectual property,J,22,6,17.9981,multi,IASR 2025 p.144; IASR 2025 p.223
78,Personal Data,Personal Data,J,19,3,16.0667,found,EU GPAI CoP 안내서 (KO) p.15
79,Privacy,Privacy,J,38,3,15.8978,multi,IASR 2025 p.139; IASR 2026 p.154; IASR 2025 p.208; IASR 2025 p.224
80,Bias,Bias,J,30,6,15.8027,multi,IASR 2025 p.92; IASR 2025 p.219
81,Reliability,Reliability,J,33,4,14.7094,multi,IASR 2025 p.88; IASR 2025 p.225
82,Law Enforcement,Law Enforcement,J,21,2,14.6003,multi,EU GPAI CoP 안내서 (KO) p.15; EU GPAI CoP 안내서 (KO) p.15
83,Copyright,Copyright,J,26,3,13.8566,multi,IASR 2025 p.144; IASR 2026 p.149; IASR 2025 p.220
84,Automation,Automation,J,23,4,13.7199,multi,IASR 2025 p.111; IASR 2025 p.219
85,Sensitive data,Sensitive data,J,14,2,13.0827,multi,IASR 2025 p.139; IASR 2025 p.208; IASR 2025 p.226
86,Data collection,Data collection,J,19,2,13.0447,multi,IASR 2025 p.92; IASR 2025 p.97; IASR 2026 p.150; IASR 2025 p.220
87,Algorithm,Algorithm,J,20,4,12.956,found,IASR 2025 p.218
88,Discrimination,Discrimination,J,17,2,11.7494,multi,IASR 2025 p.92; IASR 2025 p.220
89,Digital infrastructure,Digital infrastructure,J,10,2,11.4348,multi,IASR 2025 p.119; IASR 2026 p.150; IASR 2025 p.220
90,Narrow AI,Narrow AI,J,8,2,10.811,multi,IASR 2026 p.152; IASR 2025 p.223
91,Labour Market,Labour Market,J,8,2,10.5009,multi,IASR 2025 p.111; IASR 2025 p.111; IASR 2026 p.152; IASR 2026 p.152; IASR 2025 p.223
92,Malfunction,Malfunction,J,13,5,10.487,found,IASR 2026 p.152
93,Modalities,Modalities,J,16,2,10.4322,multi,IASR 2025 p.38; IASR 2025 p.47; IASR 2026 p.152; IASR 2025 p.158; IASR 2025 p.223
94,Persuasion,Persuasion,J,13,2,10.3575,found,IASR 2026 p.153
95,AI literacy,AI literacy,J,9,2,9.9563,found,EU GPAI CoP 안내서 (KO) p.16
96,Encryption,Encryption,J,10,3,9.3204,found,IASR 2026 p.150
97,Hacking,Hacking,J,16,1,9.1735,multi,IASR 2025 p.72; IASR 2025 p.222
98,State-of-the-art,State-of-the-art,J,20,2,9.1095,found,EU GPAI CoP 안내서 (KO) p.112
99,Developer,Developer,J,22,2,8.6776,multi,IASR 2025 p.30; IASR 2025 p.220
100,Testing Data,Testing Data,J,5,2,8.6514,found,EU GPAI CoP 안내서 (KO) p.13
